power,time,powerInt,powerPercentage
1150000.000000,0.020000,1150000,4166
1222209.125000,0.040000,1222209,4428
1294133.250000,0.060000,1294133,4688
1365488.500000,0.080000,1365488,4947
1435993.375000,0.100000,1435993,5202
1505369.500000,0.120000,1505369,5454
1573343.250000,0.140000,1573343,5700
1639646.125000,0.160000,1639646,5940
1704016.750000,0.180000,1704016,6173
1766200.750000,0.200000,1766200,6399
1825953.000000,0.220000,1825953,6615
1883037.500000,0.240000,1883037,6822
1937229.125000,0.260000,1937229,7018
1988313.875000,0.280000,1988313,7204
2036090.250000,0.300000,2036090,7377
2080369.625000,0.320000,2080369,7537
2120977.250000,0.340000,2120977,7684
2157752.750000,0.360000,2157752,7817
2190551.250000,0.380000,2190551,7936
2219243.000000,0.400000,2219243,8040
2243715.000000,0.420000,2243715,8129
2263870.750000,0.440000,2263870,8202
2279630.500000,0.460000,2279630,8259
2290932.000000,0.480000,2290932,8300
2297730.750000,0.500000,2297730,8325
2300000.000000,0.520000,2300000,8333
2297730.750000,0.540000,2297730,8325
2290931.750000,0.560000,2290931,8300
2279630.250000,0.580000,2279630,8259
2263870.500000,0.600000,2263870,8202
2243715.000000,0.620000,2243715,8129
2219243.000000,0.640000,2219243,8040
2190551.250000,0.660000,2190551,7936
2157752.750000,0.680000,2157752,7817
2120977.250000,0.700000,2120977,7684
2080369.750000,0.720000,2080369,7537
2036090.500000,0.740000,2036090,7377
1988314.250000,0.760000,1988314,7204
1937229.500000,0.780000,1937229,7018
1883038.000000,0.800000,1883038,6822
1825953.500000,0.820000,1825953,6615
1766201.375000,0.840000,1766201,6399
1704017.375000,0.860000,1704017,6173
1639646.875000,0.880000,1639646,5940
1573344.000000,0.900000,1573344,5700
1505370.500000,0.920000,1505370,5454
1435994.375000,0.940000,1435994,5202
1365489.625000,0.960000,1365489,4947
1294134.375000,0.980000,1294134,4688
1222210.375000,1.000000,1222210,4428
1150001.250000,1.020000,1150001,4166
1077792.250000,1.040000,1077792,3905
1005868.187500,1.060000,1005868,3644
934512.937500,1.080000,934512,3385
864008.125000,1.100000,864008,3130
794632.000000,1.120000,794632,2879
726658.375000,1.140000,726658,2632
660355.437500,1.159999,660355,2392
595984.875000,1.179999,595984,2159
533800.812500,1.199999,533800,1934
474048.562500,1.219999,474048,1717
416964.000000,1.239999,416964,1510
362772.375000,1.259999,362772,1314
311687.562500,1.279999,311687,1129
263911.218750,1.299999,263911,956
219631.828125,1.319999,219631,795
179024.171875,1.339999,179024,648
142248.500000,1.359999,142248,515
109449.968750,1.379999,109449,396
80758.000000,1.399999,80758,292
56285.832031,1.419999,56285,203
36130.046875,1.439999,36130,130
20370.187500,1.459999,20370,73
9068.454102,1.479999,9068,32
2269.447266,1.499999,2269,8
0.000004,1.519999,0,0
2269.068604,1.539999,2269,8
9067.698242,1.559999,9067,32
20369.058594,1.579999,20369,73
36128.546875,1.599999,36128,130
56283.968750,1.619999,56283,203
80755.781250,1.639999,80755,292
109447.398438,1.659999,109447,396
142245.593750,1.679999,142245,515
179020.937500,1.699999,179020,648
219628.281250,1.719999,219628,795
263907.375000,1.739999,263907,956
311683.437500,1.759999,311683,1129
362767.968750,1.779999,362767,1314
416959.343750,1.799999,416959,1510
474043.687500,1.819999,474043,1717
533795.687500,1.839999,533795,1934
595979.625000,1.859999,595979,2159
660349.937500,1.879999,660349,2392
726652.750000,1.899999,726652,2632
794626.250000,1.919999,794626,2879
864002.312500,1.939999,864002,3130
934507.062500,1.959999,934507,3385
1005862.187500,1.979999,1005862,3644
1077786.250000,1.999999,1077786,3905
1149995.250000,2.019999,1149995,4166
1222204.750000,2.039999,1222204,4428
1294128.750000,2.059999,1294128,4688
1365484.125000,2.079999,1365484,4947
1435988.875000,2.099999,1435988,5202
1505365.125000,2.119999,1505365,5454
1573338.875000,2.139999,1573338,5700
1639641.875000,2.159999,1639641,5940
1704012.500000,2.179999,1704012,6173
1766196.625000,2.199999,1766196,6399
1825949.000000,2.219999,1825949,6615
1883033.625000,2.239999,1883033,6822
1937225.375000,2.259999,1937225,7018
1988310.375000,2.279999,1988310,7204
2036086.875000,2.299999,2036086,7377
2080366.375000,2.319999,2080366,7537
2120974.250000,2.339998,2120974,7684
2157750.000000,2.359998,2157750,7817
2190548.750000,2.379998,2190548,7936
2219241.000000,2.399998,2219241,8040
2243713.250000,2.419998,2243713,8129
2263869.250000,2.439998,2263869,8202
2279629.250000,2.459998,2279629,8259
2290931.250000,2.479998,2290931,8300
2297730.250000,2.499998,2297730,8325
2300000.000000,2.519998,2300000,8333
2297731.000000,2.539998,2297731,8325
2290932.750000,2.559998,2290932,8300
2279631.500000,2.579998,2279631,8259
2263872.250000,2.599998,2263872,8202
2243717.000000,2.619998,2243717,8129
2219245.250000,2.639998,2219245,8040
2190554.000000,2.659998,2190554,7936
2157755.750000,2.679998,2157755,7817
2120980.750000,2.699998,2120980,7684
2080373.500000,2.719998,2080373,7537
2036094.500000,2.739998,2036094,7377
1988318.625000,2.759998,1988318,7204
1937234.250000,2.779998,1937234,7018
1883043.000000,2.799998,1883043,6822
1825958.750000,2.819998,1825958,6615
1766206.875000,2.839998,1766206,6399
1704023.000000,2.859998,1704023,6173
1639652.750000,2.879998,1639652,5940
1573350.000000,2.899998,1573350,5700
1505376.625000,2.919998,1505376,5454
1436000.625000,2.939998,1436000,5202
1365495.875000,2.959998,1365495,4947
1294140.750000,2.979998,1294140,4688
1222216.750000,2.999998,1222216,4428
1150007.750000,3.019998,1150007,4166
1077798.750000,3.039998,1077798,3905
1005874.625000,3.059998,1005874,3644
934519.312500,3.079998,934519,3385
864014.375000,3.099998,864014,3130
794638.187500,3.119998,794638,2879
726664.375000,3.139998,726664,2632
660361.250000,3.159998,660361,2392
595990.562500,3.179998,595990,2159
533806.250000,3.199998,533806,1934
474053.781250,3.219998,474053,1717
416968.968750,3.239998,416968,1510
362777.093750,3.259998,362777,1314
311692.000000,3.279998,311692,1129
263915.312500,3.299998,263915,956
219635.625000,3.319998,219635,795
179027.625000,3.339998,179027,648
142251.609375,3.359998,142251,515
109452.718750,3.379997,109452,396
80760.375000,3.399997,80760,292
56287.828125,3.419997,56287,203
36131.652344,3.439997,36131,130
20371.398438,3.459997,20371,73
9069.263672,3.479997,9069,32
2269.853027,3.499997,2269,8
0.000039,3.519997,0,0
2268.663086,3.539997,2268,8
9066.888672,3.559997,9066,32
20367.847656,3.579997,20367,73
36126.941406,3.599997,36126,130
56281.972656,3.619997,56281,203
80753.398438,3.639997,80753,292
109444.648438,3.659997,109444,396
142242.484375,3.679997,142242,515
179017.468750,3.699997,179017,648
219624.484375,3.719997,219624,795
263903.250000,3.739997,263903,956
311679.031250,3.759997,311679,1129
362763.281250,3.779997,362763,1314
416954.375000,3.799997,416954,1510
474038.468750,3.819997,474038,1717
533790.250000,3.839997,533790,1934
595973.937500,3.859997,595973,2159
660344.125000,3.879997,660344,2392
726646.750000,3.899997,726646,2632
794620.125000,3.919997,794620,2879
863996.062500,3.939997,863996,3130
934500.687500,3.959997,934500,3385
1005855.812500,3.979997,1005855,3644
1077779.750000,3.999997,1077779,3904
1149988.750000,4.019997,1149988,4166
