power,time
0.000000,0.020000
144418.187500,0.040000
288266.437500,0.060000
430977.000000,0.080000
571986.750000,0.100000
710739.125000,0.120000
846686.500000,0.140000
979292.375000,0.160000
1108033.375000,0.180000
1232401.625000,0.200000
1351906.000000,0.220000
1466075.125000,0.240000
1574458.250000,0.260000
1676627.750000,0.280000
1772180.500000,0.300000
1860739.125000,0.320000
1941954.375000,0.340000
2015505.500000,0.360000
2081102.375000,0.380000
2138486.000000,0.400000
2187430.250000,0.420000
2227741.500000,0.440000
2259260.750000,0.460000
2281864.000000,0.480000
2295461.500000,0.500000
2300000.000000,0.520000
2295461.500000,0.540000
2281863.750000,0.560000
2259260.500000,0.580000
2227741.250000,0.600000
2187430.000000,0.620000
2138486.000000,0.640000
2081102.250000,0.660000
2015505.500000,0.680000
1941954.375000,0.700000
1860739.375000,0.720000
1772180.875000,0.740000
1676628.375000,0.760000
1574459.000000,0.780000
1466076.000000,0.800000
1351907.000000,0.820000
1232402.750000,0.840000
1108034.750000,0.860000
979293.812500,0.880000
846688.125000,0.900000
710740.875000,0.920000
571988.687500,0.940000
430979.156250,0.960000
288268.718750,0.980000
144420.640625,1.000000
2.584099,1.020000
-144415.484375,1.040000
-288263.593750,1.060000
-430974.093750,1.080000
-571983.687500,1.100000
-710736.000000,1.120000
-846683.312500,1.140000
-979289.187500,1.159999
-1108030.250000,1.179999
-1232398.375000,1.199999
-1351902.875000,1.219999
-1466072.000000,1.239999
-1574455.250000,1.259999
-1676624.875000,1.279999
-1772177.625000,1.299999
-1860736.375000,1.319999
-1941951.625000,1.339999
-2015503.000000,1.359999
-2081100.125000,1.379999
-2138484.000000,1.399999
-2187428.250000,1.419999
-2227740.000000,1.439999
-2259259.500000,1.459999
-2281863.000000,1.479999
-2295461.000000,1.499999
-2300000.000000,1.519999
-2295461.750000,1.539999
-2281864.500000,1.559999
-2259262.000000,1.579999
-2227743.000000,1.599999
-2187432.000000,1.619999
-2138488.500000,1.639999
-2081105.250000,1.659999
-2015508.750000,1.679999
-1941958.125000,1.699999
-1860743.500000,1.719999
-1772185.250000,1.739999
-1676633.125000,1.759999
-1574464.000000,1.779999
-1466081.250000,1.799999
-1351912.625000,1.819999
-1232408.625000,1.839999
-1108040.750000,1.859999
-979300.062500,1.879999
-846694.500000,1.899999
-710747.437500,1.919999
-571995.375000,1.939999
-430985.937500,1.959999
-288275.562500,1.979999
-144427.515625,1.999999
-9.475028,2.019999
144409.453125,2.039999
288257.625000,2.059999
430968.156250,2.079999
571977.875000,2.099999
710730.250000,2.119999
846677.687500,2.139999
979283.687500,2.159999
1108024.875000,2.179999
1232393.250000,2.199999
1351898.000000,2.219999
1466067.375000,2.239999
1574450.875000,2.259999
1676620.750000,2.279999
1772173.750000,2.299999
1860732.750000,2.319999
1941948.375000,2.339998
2015500.125000,2.359998
2081097.500000,2.379998
2138481.750000,2.399998
2187426.500000,2.419998
2227738.500000,2.439998
2259258.500000,2.459998
2281862.250000,2.479998
2295460.750000,2.499998
2300000.000000,2.519998
2295462.250000,2.539998
2281865.250000,2.559998
2259263.000000,2.579998
2227744.500000,2.599998
2187434.000000,2.619998
2138490.750000,2.639998
2081107.750000,2.659998
2015511.750000,2.679998
1941961.375000,2.699998
1860747.000000,2.719998
1772189.125000,2.739998
1676637.250000,2.759998
1574468.500000,2.779998
1466086.000000,2.799998
1351917.500000,2.819998
1232413.625000,2.839998
1108046.125000,2.859998
979305.500000,2.879998
846700.125000,2.899998
710753.187500,2.919998
572001.250000,2.939998
430991.843750,2.959998
288281.531250,2.979998
144433.531250,2.999998
15.504591,3.019998
-144402.578125,3.039998
-288250.781250,3.059998
-430961.375000,3.079998
-571971.187500,3.099998
-710723.687500,3.119998
-846671.312500,3.139998
-979277.437500,3.159998
-1108018.875000,3.179998
-1232387.500000,3.199998
-1351892.375000,3.219998
-1466062.000000,3.239998
-1574445.875000,3.259998
-1676616.000000,3.279998
-1772169.375000,3.299998
-1860728.750000,3.319998
-1941944.750000,3.339998
-2015496.750000,3.359998
-2081094.625000,3.379997
-2138479.250000,3.399997
-2187424.250000,3.419997
-2227736.750000,3.439997
-2259257.250000,3.459997
-2281861.500000,3.479997
-2295460.250000,3.499997
-2300000.000000,3.519997
-2295462.750000,3.539997
-2281866.250000,3.559997
-2259264.250000,3.579997
-2227746.000000,3.599997
-2187436.000000,3.619997
-2138493.250000,3.639997
-2081110.750000,3.659997
-2015515.000000,3.679997
-1941965.000000,3.699997
-1860751.000000,3.719997
-1772193.500000,3.739997
-1676642.000000,3.759997
-1574473.500000,3.779997
-1466091.250000,3.799997
-1351923.125000,3.819997
-1232419.500000,3.839997
-1108052.125000,3.859997
-979311.750000,3.879997
-846706.500000,3.899997
-710759.750000,3.919997
-572007.875000,3.939997
-430998.625000,3.959997
-288288.375000,3.979997
-144440.406250,3.999997
-22.395521,4.019997
